experiment simulation item wn word attachtime
GG-EXP1 4 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 4 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 4 SUBJECT-REL 4 "SENT" 36 
GG-EXP1 4 SUBJECT-REL 5 "THE" 58 
GG-EXP1 4 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 4 SUBJECT-REL 7 "TO" 70 
GG-EXP1 4 SUBJECT-REL 8 "THE" 70 
GG-EXP1 4 SUBJECT-REL 9 "EDITOR" 43 
GG-EXP1 4 SUBJECT-REL 10 "HOPED" 84 
GG-EXP1 4 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 4 OBJECT-REL 1 "THE" 35 
GG-EXP1 4 OBJECT-REL 2 "REPORTER" 34 
GG-EXP1 4 OBJECT-REL 3 "WHO" 10 
GG-EXP1 4 OBJECT-REL 4 "THE" 107 
GG-EXP1 4 OBJECT-REL 5 "PHOTOGRAPHER" 52 
GG-EXP1 4 OBJECT-REL 6 "SENT" 101 
GG-EXP1 4 OBJECT-REL 7 "TO" 52 
GG-EXP1 4 OBJECT-REL 8 "THE" 44 
GG-EXP1 4 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 4 OBJECT-REL 10 "HOPED" 94 
GG-EXP1 4 OBJECT-REL 11 "FOR" 43 
GG-EXP1 4 OBJECT-REL 12 "THE" 42 
GG-EXP1 4 OBJECT-REL 13 "STORY" 70 
GG-EXP1 5 SUBJECT-REL 1 "THE" 70 
GG-EXP1 5 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 5 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 5 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 5 SUBJECT-REL 5 "THE" 70 
GG-EXP1 5 SUBJECT-REL 6 "PHOTOGRAPHER" 40 
GG-EXP1 5 SUBJECT-REL 7 "TO" 39 
GG-EXP1 5 SUBJECT-REL 8 "THE" 70 
GG-EXP1 5 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 5 SUBJECT-REL 10 "HOPED" 73 
GG-EXP1 5 SUBJECT-REL 11 "FOR" 68 
GG-EXP1 5 SUBJECT-REL 12 "THE" 70 
GG-EXP1 5 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 5 OBJECT-REL 1 "THE" 54 
GG-EXP1 5 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 5 OBJECT-REL 3 "WHO" 10 
GG-EXP1 5 OBJECT-REL 4 "THE" 119 
GG-EXP1 5 OBJECT-REL 5 "PHOTOGRAPHER" 39 
GG-EXP1 5 OBJECT-REL 6 "SENT" 140 
GG-EXP1 5 OBJECT-REL 7 "TO" 70 
GG-EXP1 5 OBJECT-REL 8 "THE" 70 
GG-EXP1 5 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 5 OBJECT-REL 10 "HOPED" 102 
GG-EXP1 5 OBJECT-REL 11 "FOR" 70 
GG-EXP1 5 OBJECT-REL 12 "THE" 70 
GG-EXP1 5 OBJECT-REL 13 "STORY" 39 
GG-EXP1 6 SUBJECT-REL 1 "THE" 70 
GG-EXP1 6 SUBJECT-REL 2 "REPORTER" 49 
GG-EXP1 6 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 6 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 6 SUBJECT-REL 5 "THE" 70 
GG-EXP1 6 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 6 SUBJECT-REL 7 "TO" 41 
GG-EXP1 6 OBJECT-REL 1 "THE" 70 
GG-EXP1 6 OBJECT-REL 2 "REPORTER" 39 
GG-EXP1 6 OBJECT-REL 3 "WHO" 10 
GG-EXP1 6 OBJECT-REL 4 "THE" 133 
GG-EXP1 6 OBJECT-REL 5 "PHOTOGRAPHER" 52 
GG-EXP1 6 OBJECT-REL 6 "SENT" 92 
GG-EXP1 6 OBJECT-REL 7 "TO" 42 
GG-EXP1 6 OBJECT-REL 8 "THE" 70 
GG-EXP1 6 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 6 OBJECT-REL 10 "HOPED" 94 
GG-EXP1 6 OBJECT-REL 11 "FOR" 39 
GG-EXP1 6 OBJECT-REL 12 "THE" 51 
GG-EXP1 6 OBJECT-REL 13 "STORY" 70 
GG-EXP1 7 SUBJECT-REL 1 "THE" 70 
GG-EXP1 7 SUBJECT-REL 2 "REPORTER" 38 
GG-EXP1 7 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 7 SUBJECT-REL 4 "SENT" 36 
GG-EXP1 7 SUBJECT-REL 5 "THE" 47 
GG-EXP1 7 SUBJECT-REL 6 "PHOTOGRAPHER" 31 
GG-EXP1 7 SUBJECT-REL 7 "TO" 37 
GG-EXP1 7 SUBJECT-REL 8 "THE" 70 
GG-EXP1 7 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 7 SUBJECT-REL 10 "HOPED" 56 
GG-EXP1 7 SUBJECT-REL 11 "FOR" 40 
GG-EXP1 7 SUBJECT-REL 12 "THE" 52 
GG-EXP1 7 SUBJECT-REL 13 "STORY" 54 
GG-EXP1 7 OBJECT-REL 1 "THE" 37 
GG-EXP1 7 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 7 OBJECT-REL 3 "WHO" 10 
GG-EXP1 7 OBJECT-REL 4 "THE" 95 
GG-EXP1 7 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 7 OBJECT-REL 6 "SENT" 127 
GG-EXP1 7 OBJECT-REL 7 "TO" 70 
GG-EXP1 7 OBJECT-REL 8 "THE" 31 
GG-EXP1 7 OBJECT-REL 9 "EDITOR" 54 
GG-EXP1 7 OBJECT-REL 10 "HOPED" 193 
GG-EXP1 7 OBJECT-REL 11 "FOR" 70 
GG-EXP1 8 SUBJECT-REL 1 "THE" 70 
GG-EXP1 8 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 8 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 8 SUBJECT-REL 4 "SENT" 38 
GG-EXP1 8 SUBJECT-REL 5 "THE" 70 
GG-EXP1 8 SUBJECT-REL 6 "PHOTOGRAPHER" 38 
GG-EXP1 8 SUBJECT-REL 7 "TO" 39 
GG-EXP1 8 SUBJECT-REL 8 "THE" 70 
GG-EXP1 8 SUBJECT-REL 9 "EDITOR" 38 
GG-EXP1 8 SUBJECT-REL 10 "HOPED" 90 
GG-EXP1 8 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 8 SUBJECT-REL 12 "THE" 45 
GG-EXP1 8 SUBJECT-REL 13 "STORY" 66 
GG-EXP1 8 OBJECT-REL 1 "THE" 70 
GG-EXP1 8 OBJECT-REL 2 "REPORTER" 31 
GG-EXP1 8 OBJECT-REL 3 "WHO" 10 
GG-EXP1 8 OBJECT-REL 4 "THE" 105 
GG-EXP1 8 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 8 OBJECT-REL 6 "SENT" 137 
GG-EXP1 8 OBJECT-REL 7 "TO" 41 
GG-EXP1 8 OBJECT-REL 8 "THE" 37 
GG-EXP1 8 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 8 OBJECT-REL 10 "HOPED" 90 
GG-EXP1 8 OBJECT-REL 11 "FOR" 70 
GG-EXP1 8 OBJECT-REL 12 "THE" 70 
GG-EXP1 8 OBJECT-REL 13 "STORY" 70 
GG-EXP1 9 SUBJECT-REL 1 "THE" 70 
GG-EXP1 9 SUBJECT-REL 2 "REPORTER" 42 
GG-EXP1 9 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 9 SUBJECT-REL 4 "SENT" 35 
GG-EXP1 9 SUBJECT-REL 5 "THE" 36 
GG-EXP1 9 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 9 SUBJECT-REL 7 "TO" 87 
GG-EXP1 9 SUBJECT-REL 8 "THE" 70 
GG-EXP1 9 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 9 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 9 SUBJECT-REL 11 "FOR" 39 
GG-EXP1 9 SUBJECT-REL 12 "THE" 70 
GG-EXP1 9 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 9 OBJECT-REL 1 "THE" 70 
GG-EXP1 9 OBJECT-REL 2 "REPORTER" 36 
GG-EXP1 9 OBJECT-REL 3 "WHO" 10 
GG-EXP1 9 OBJECT-REL 4 "THE" 143 
GG-EXP1 9 OBJECT-REL 5 "PHOTOGRAPHER" 44 
GG-EXP1 9 OBJECT-REL 6 "SENT" 141 
GG-EXP1 9 OBJECT-REL 7 "TO" 40 
GG-EXP1 9 OBJECT-REL 8 "THE" 70 
GG-EXP1 9 OBJECT-REL 9 "EDITOR" 43 
GG-EXP1 9 OBJECT-REL 10 "HOPED" 96 
GG-EXP1 9 OBJECT-REL 11 "FOR" 70 
GG-EXP1 9 OBJECT-REL 12 "THE" 44 
GG-EXP1 9 OBJECT-REL 13 "STORY" 70 
GG-EXP1 10 SUBJECT-REL 1 "THE" 36 
GG-EXP1 10 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 10 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 10 SUBJECT-REL 4 "SENT" 34 
GG-EXP1 10 SUBJECT-REL 5 "THE" 36 
GG-EXP1 10 SUBJECT-REL 6 "PHOTOGRAPHER" 34 
GG-EXP1 10 SUBJECT-REL 7 "TO" 39 
GG-EXP1 10 SUBJECT-REL 8 "THE" 41 
GG-EXP1 10 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 10 SUBJECT-REL 10 "HOPED" 142 
GG-EXP1 10 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 10 SUBJECT-REL 12 "THE" 45 
GG-EXP1 10 SUBJECT-REL 13 "STORY" 44 
GG-EXP1 10 OBJECT-REL 1 "THE" 34 
GG-EXP1 10 OBJECT-REL 2 "REPORTER" 43 
GG-EXP1 10 OBJECT-REL 3 "WHO" 10 
GG-EXP1 10 OBJECT-REL 4 "THE" 91 
GG-EXP1 10 OBJECT-REL 5 "PHOTOGRAPHER" 46 
GG-EXP1 10 OBJECT-REL 6 "SENT" 97 
GG-EXP1 10 OBJECT-REL 7 "TO" 36 
GG-EXP1 10 OBJECT-REL 8 "THE" 41 
GG-EXP1 10 OBJECT-REL 9 "EDITOR" 46 
GG-EXP1 10 OBJECT-REL 10 "HOPED" 110 
GG-EXP1 10 OBJECT-REL 11 "FOR" 40 
GG-EXP1 10 OBJECT-REL 12 "THE" 70 
GG-EXP1 10 OBJECT-REL 13 "STORY" 53 
GG-EXP1 11 SUBJECT-REL 1 "THE" 38 
GG-EXP1 11 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 11 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 11 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 11 SUBJECT-REL 5 "THE" 48 
GG-EXP1 11 SUBJECT-REL 6 "PHOTOGRAPHER" 42 
GG-EXP1 11 SUBJECT-REL 7 "TO" 59 
GG-EXP1 11 SUBJECT-REL 8 "THE" 70 
GG-EXP1 11 SUBJECT-REL 9 "EDITOR" 32 
GG-EXP1 11 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 11 SUBJECT-REL 11 "FOR" 51 
GG-EXP1 11 SUBJECT-REL 12 "THE" 70 
GG-EXP1 11 SUBJECT-REL 13 "STORY" 98 
GG-EXP1 11 OBJECT-REL 1 "THE" 70 
GG-EXP1 11 OBJECT-REL 2 "REPORTER" 37 
GG-EXP1 11 OBJECT-REL 3 "WHO" 10 
GG-EXP1 11 OBJECT-REL 4 "THE" 111 
GG-EXP1 11 OBJECT-REL 5 "PHOTOGRAPHER" 31 
GG-EXP1 11 OBJECT-REL 6 "SENT" 142 
GG-EXP1 11 OBJECT-REL 7 "TO" 70 
GG-EXP1 11 OBJECT-REL 8 "THE" 36 
GG-EXP1 11 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 11 OBJECT-REL 10 "HOPED" 70 
GG-EXP1 11 OBJECT-REL 11 "FOR" 50 
GG-EXP1 11 OBJECT-REL 12 "THE" 70 
GG-EXP1 11 OBJECT-REL 13 "STORY" 44 
GG-EXP1 12 SUBJECT-REL 1 "THE" 70 
GG-EXP1 12 SUBJECT-REL 2 "REPORTER" 35 
GG-EXP1 12 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 12 SUBJECT-REL 4 "SENT" 42 
GG-EXP1 12 SUBJECT-REL 5 "THE" 40 
GG-EXP1 12 SUBJECT-REL 6 "PHOTOGRAPHER" 40 
GG-EXP1 12 SUBJECT-REL 7 "TO" 45 
GG-EXP1 12 SUBJECT-REL 8 "THE" 43 
GG-EXP1 12 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 12 SUBJECT-REL 10 "HOPED" 75 
GG-EXP1 12 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 12 SUBJECT-REL 12 "THE" 70 
GG-EXP1 12 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 12 OBJECT-REL 1 "THE" 36 
GG-EXP1 12 OBJECT-REL 2 "REPORTER" 43 
GG-EXP1 12 OBJECT-REL 3 "WHO" 10 
GG-EXP1 12 OBJECT-REL 4 "THE" 183 
GG-EXP1 12 OBJECT-REL 5 "PHOTOGRAPHER" 38 
GG-EXP1 12 OBJECT-REL 6 "SENT" 145 
GG-EXP1 12 OBJECT-REL 7 "TO" 70 
GG-EXP1 12 OBJECT-REL 8 "THE" 70 
GG-EXP1 12 OBJECT-REL 9 "EDITOR" 34 
GG-EXP1 12 OBJECT-REL 10 "HOPED" 110 
GG-EXP1 12 OBJECT-REL 11 "FOR" 38 
GG-EXP1 12 OBJECT-REL 12 "THE" 39 
GG-EXP1 12 OBJECT-REL 13 "STORY" 70 
GG-EXP1 13 SUBJECT-REL 1 "THE" 31 
GG-EXP1 13 SUBJECT-REL 2 "REPORTER" 35 
GG-EXP1 13 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 13 SUBJECT-REL 4 "SENT" 35 
GG-EXP1 13 SUBJECT-REL 5 "THE" 44 
GG-EXP1 13 SUBJECT-REL 6 "PHOTOGRAPHER" 40 
GG-EXP1 13 SUBJECT-REL 7 "TO" 33 
GG-EXP1 13 SUBJECT-REL 8 "THE" 38 
GG-EXP1 13 SUBJECT-REL 9 "EDITOR" 41 
GG-EXP1 13 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 13 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 13 SUBJECT-REL 12 "THE" 70 
GG-EXP1 13 SUBJECT-REL 13 "STORY" 48 
GG-EXP1 13 OBJECT-REL 1 "THE" 70 
GG-EXP1 13 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 13 OBJECT-REL 3 "WHO" 10 
GG-EXP1 13 OBJECT-REL 4 "THE" 130 
GG-EXP1 13 OBJECT-REL 5 "PHOTOGRAPHER" 37 
GG-EXP1 13 OBJECT-REL 6 "SENT" 125 
GG-EXP1 13 OBJECT-REL 7 "TO" 70 
GG-EXP1 13 OBJECT-REL 8 "THE" 40 
GG-EXP1 13 OBJECT-REL 9 "EDITOR" 57 
GG-EXP1 13 OBJECT-REL 10 "HOPED" 98 
GG-EXP1 13 OBJECT-REL 11 "FOR" 70 
GG-EXP1 13 OBJECT-REL 12 "THE" 43 
GG-EXP1 13 OBJECT-REL 13 "STORY" 70 
GG-EXP1 14 SUBJECT-REL 1 "THE" 70 
GG-EXP1 14 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 14 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 14 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 14 SUBJECT-REL 5 "THE" 38 
GG-EXP1 14 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 14 SUBJECT-REL 7 "TO" 70 
GG-EXP1 14 SUBJECT-REL 8 "THE" 46 
GG-EXP1 14 SUBJECT-REL 9 "EDITOR" 37 
GG-EXP1 14 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 14 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 14 SUBJECT-REL 12 "THE" 44 
GG-EXP1 14 SUBJECT-REL 13 "STORY" 46 
GG-EXP1 14 OBJECT-REL 1 "THE" 34 
GG-EXP1 14 OBJECT-REL 2 "REPORTER" 45 
GG-EXP1 14 OBJECT-REL 3 "WHO" 10 
GG-EXP1 14 OBJECT-REL 4 "THE" 161 
GG-EXP1 14 OBJECT-REL 5 "PHOTOGRAPHER" 34 
GG-EXP1 14 OBJECT-REL 6 "SENT" 116 
GG-EXP1 14 OBJECT-REL 7 "TO" 70 
GG-EXP1 14 OBJECT-REL 8 "THE" 70 
GG-EXP1 14 OBJECT-REL 9 "EDITOR" 40 
GG-EXP1 14 OBJECT-REL 10 "HOPED" 74 
GG-EXP1 14 OBJECT-REL 11 "FOR" 53 
GG-EXP1 14 OBJECT-REL 12 "THE" 37 
GG-EXP1 14 OBJECT-REL 13 "STORY" 37 
GG-EXP1 15 SUBJECT-REL 1 "THE" 39 
GG-EXP1 15 SUBJECT-REL 2 "REPORTER" 31 
GG-EXP1 15 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 15 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 15 SUBJECT-REL 5 "THE" 48 
GG-EXP1 15 SUBJECT-REL 6 "PHOTOGRAPHER" 45 
GG-EXP1 15 SUBJECT-REL 7 "TO" 39 
GG-EXP1 15 OBJECT-REL 1 "THE" 34 
GG-EXP1 15 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 15 OBJECT-REL 3 "WHO" 10 
GG-EXP1 15 OBJECT-REL 4 "THE" 109 
GG-EXP1 15 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 15 OBJECT-REL 6 "SENT" 112 
GG-EXP1 15 OBJECT-REL 7 "TO" 34 
GG-EXP1 15 OBJECT-REL 8 "THE" 70 
GG-EXP1 16 SUBJECT-REL 1 "THE" 70 
GG-EXP1 16 SUBJECT-REL 2 "REPORTER" 39 
GG-EXP1 16 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 16 SUBJECT-REL 4 "SENT" 40 
GG-EXP1 16 SUBJECT-REL 5 "THE" 38 
GG-EXP1 16 SUBJECT-REL 6 "PHOTOGRAPHER" 45 
GG-EXP1 16 SUBJECT-REL 7 "TO" 40 
GG-EXP1 16 SUBJECT-REL 8 "THE" 41 
GG-EXP1 16 SUBJECT-REL 9 "EDITOR" 42 
GG-EXP1 16 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 16 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 16 SUBJECT-REL 12 "THE" 38 
GG-EXP1 16 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 16 OBJECT-REL 1 "THE" 70 
GG-EXP1 16 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 16 OBJECT-REL 3 "WHO" 10 
GG-EXP1 16 OBJECT-REL 4 "THE" 149 
GG-EXP1 16 OBJECT-REL 5 "PHOTOGRAPHER" 34 
GG-EXP1 16 OBJECT-REL 6 "SENT" 91 
GG-EXP1 16 OBJECT-REL 7 "TO" 37 
GG-EXP1 16 OBJECT-REL 8 "THE" 34 
GG-EXP1 16 OBJECT-REL 9 "EDITOR" 35 
GG-EXP1 16 OBJECT-REL 10 "HOPED" 93 
GG-EXP1 16 OBJECT-REL 11 "FOR" 97 
GG-EXP1 16 OBJECT-REL 12 "THE" 48 
GG-EXP1 16 OBJECT-REL 13 "STORY" 70 
GG-EXP1 17 SUBJECT-REL 1 "THE" 34 
GG-EXP1 17 SUBJECT-REL 2 "REPORTER" 39 
GG-EXP1 17 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 17 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 17 SUBJECT-REL 5 "THE" 70 
GG-EXP1 17 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 17 SUBJECT-REL 7 "TO" 53 
GG-EXP1 17 SUBJECT-REL 8 "THE" 35 
GG-EXP1 17 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 17 SUBJECT-REL 10 "HOPED" 68 
GG-EXP1 17 SUBJECT-REL 11 "FOR" 45 
GG-EXP1 17 SUBJECT-REL 12 "THE" 43 
GG-EXP1 17 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 17 OBJECT-REL 1 "THE" 70 
GG-EXP1 18 SUBJECT-REL 1 "THE" 40 
GG-EXP1 18 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 18 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 18 SUBJECT-REL 4 "SENT" 43 
GG-EXP1 18 SUBJECT-REL 5 "THE" 50 
GG-EXP1 18 SUBJECT-REL 6 "PHOTOGRAPHER" 49 
GG-EXP1 18 SUBJECT-REL 7 "TO" 41 
GG-EXP1 18 SUBJECT-REL 8 "THE" 51 
GG-EXP1 18 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 18 SUBJECT-REL 10 "HOPED" 89 
GG-EXP1 18 SUBJECT-REL 11 "FOR" 45 
GG-EXP1 18 SUBJECT-REL 12 "THE" 40 
GG-EXP1 18 SUBJECT-REL 13 "STORY" 26 
GG-EXP1 18 OBJECT-REL 1 "THE" 34 
GG-EXP1 18 OBJECT-REL 2 "REPORTER" 38 
GG-EXP1 18 OBJECT-REL 3 "WHO" 10 
GG-EXP1 18 OBJECT-REL 4 "THE" 114 
GG-EXP1 18 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 18 OBJECT-REL 6 "SENT" 138 
GG-EXP1 18 OBJECT-REL 7 "TO" 70 
GG-EXP1 18 OBJECT-REL 8 "THE" 70 
GG-EXP1 18 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 18 OBJECT-REL 10 "HOPED" 85 
GG-EXP1 18 OBJECT-REL 11 "FOR" 70 
GG-EXP1 18 OBJECT-REL 12 "THE" 43 
GG-EXP1 18 OBJECT-REL 13 "STORY" 70 
GG-EXP1 19 SUBJECT-REL 1 "THE" 70 
GG-EXP1 19 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 19 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 19 SUBJECT-REL 4 "SENT" 32 
GG-EXP1 19 SUBJECT-REL 5 "THE" 43 
GG-EXP1 19 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 19 SUBJECT-REL 7 "TO" 70 
GG-EXP1 19 SUBJECT-REL 8 "THE" 70 
GG-EXP1 19 SUBJECT-REL 9 "EDITOR" 34 
GG-EXP1 19 SUBJECT-REL 10 "HOPED" 87 
GG-EXP1 19 SUBJECT-REL 11 "FOR" 43 
GG-EXP1 19 SUBJECT-REL 12 "THE" 70 
GG-EXP1 19 SUBJECT-REL 13 "STORY" 45 
GG-EXP1 19 OBJECT-REL 1 "THE" 32 
GG-EXP1 19 OBJECT-REL 2 "REPORTER" 46 
