experiment simulation item wn word fixdur
GG-EXP1 10 SUBJECT-REL 9 "editor" 455 
GG-EXP1 10 SUBJECT-REL 11 "for" 216 
GG-EXP1 10 SUBJECT-REL 13 "story" 156 
GG-EXP1 10 OBJECT-REL 1 "the" 393 
GG-EXP1 10 OBJECT-REL 1 "the" 187 
GG-EXP1 10 OBJECT-REL 2 "reporter" 176 
GG-EXP1 10 OBJECT-REL 3 "who" 331 
GG-EXP1 10 OBJECT-REL 2 "reporter" 230 
GG-EXP1 10 OBJECT-REL 3 "who" 142 
GG-EXP1 10 OBJECT-REL 4 "the" 160 
GG-EXP1 10 OBJECT-REL 5 "photographer" 304 
GG-EXP1 10 OBJECT-REL 8 "the" 402 
GG-EXP1 10 OBJECT-REL 10 "hoped" 465 
GG-EXP1 10 OBJECT-REL 13 "story" 203 
GG-EXP1 11 SUBJECT-REL 1 "the" 703 
GG-EXP1 11 SUBJECT-REL 3 "who" 241 
GG-EXP1 11 SUBJECT-REL 4 "sent" 304 
GG-EXP1 11 SUBJECT-REL 6 "photographer" 276 
GG-EXP1 11 SUBJECT-REL 8 "the" 285 
GG-EXP1 11 SUBJECT-REL 10 "hoped" 370 
GG-EXP1 11 SUBJECT-REL 13 "story" 220 
GG-EXP1 11 OBJECT-REL 1 "the" 494 
GG-EXP1 11 OBJECT-REL 2 "reporter" 193 
GG-EXP1 11 OBJECT-REL 3 "who" 356 
GG-EXP1 11 OBJECT-REL 3 "who" 211 
GG-EXP1 11 OBJECT-REL 4 "the" 351 
GG-EXP1 11 OBJECT-REL 6 "sent" 274 
GG-EXP1 11 OBJECT-REL 8 "the" 259 
GG-EXP1 11 OBJECT-REL 10 "hoped" 188 
GG-EXP1 11 OBJECT-REL 11 "for" 178 
GG-EXP1 11 OBJECT-REL 12 "the" 265 
GG-EXP1 12 SUBJECT-REL 1 "the" 647 
GG-EXP1 12 SUBJECT-REL 4 "sent" 176 
GG-EXP1 12 SUBJECT-REL 3 "who" 402 
GG-EXP1 12 SUBJECT-REL 6 "photographer" 311 
GG-EXP1 12 SUBJECT-REL 8 "the" 264 
GG-EXP1 12 SUBJECT-REL 10 "hoped" 312 
GG-EXP1 12 SUBJECT-REL 12 "the" 240 
GG-EXP1 12 OBJECT-REL 1 "the" 541 
GG-EXP1 12 OBJECT-REL 2 "reporter" 458 
GG-EXP1 12 OBJECT-REL 1 "the" 210 
GG-EXP1 12 OBJECT-REL 2 "reporter" 357 
GG-EXP1 12 OBJECT-REL 4 "the" 288 
GG-EXP1 12 OBJECT-REL 6 "sent" 366 
GG-EXP1 12 OBJECT-REL 8 "the" 239 
GG-EXP1 12 OBJECT-REL 10 "hoped" 375 
GG-EXP1 12 OBJECT-REL 12 "the" 184 
GG-EXP1 12 OBJECT-REL 13 "story" 162 
GG-EXP1 13 SUBJECT-REL 1 "the" 513 
GG-EXP1 13 SUBJECT-REL 2 "reporter" 223 
GG-EXP1 13 SUBJECT-REL 4 "sent" 212 
GG-EXP1 13 SUBJECT-REL 5 "the" 178 
GG-EXP1 13 SUBJECT-REL 6 "photographer" 224 
GG-EXP1 13 SUBJECT-REL 8 "the" 211 
GG-EXP1 13 SUBJECT-REL 9 "editor" 148 
GG-EXP1 13 SUBJECT-REL 10 "hoped" 386 
GG-EXP1 13 SUBJECT-REL 13 "story" 240 
GG-EXP1 13 OBJECT-REL 1 "the" 674 
GG-EXP1 13 OBJECT-REL 2 "reporter" 352 
GG-EXP1 13 OBJECT-REL 2 "reporter" 230 
GG-EXP1 13 OBJECT-REL 3 "who" 162 
GG-EXP1 13 OBJECT-REL 4 "the" 313 
GG-EXP1 13 OBJECT-REL 6 "sent" 349 
GG-EXP1 13 OBJECT-REL 8 "the" 252 
GG-EXP1 13 OBJECT-REL 10 "hoped" 159 
GG-EXP1 13 OBJECT-REL 11 "for" 223 
GG-EXP1 13 OBJECT-REL 13 "story" 148 
GG-EXP1 14 SUBJECT-REL 1 "the" 387 
GG-EXP1 14 SUBJECT-REL 1 "the" 176 
GG-EXP1 14 SUBJECT-REL 2 "reporter" 140 
GG-EXP1 14 SUBJECT-REL 3 "who" 436 
GG-EXP1 14 SUBJECT-REL 6 "photographer" 391 
GG-EXP1 14 SUBJECT-REL 8 "the" 145 
GG-EXP1 14 SUBJECT-REL 9 "editor" 271 
GG-EXP1 14 SUBJECT-REL 11 "for" 388 
GG-EXP1 14 OBJECT-REL 1 "the" 607 
GG-EXP1 14 OBJECT-REL 3 "who" 413 
GG-EXP1 14 OBJECT-REL 2 "reporter" 206 
GG-EXP1 14 OBJECT-REL 3 "who" 363 
GG-EXP1 14 OBJECT-REL 5 "photographer" 144 
GG-EXP1 14 OBJECT-REL 6 "sent" 381 
GG-EXP1 14 OBJECT-REL 9 "editor" 219 
GG-EXP1 14 OBJECT-REL 10 "hoped" 565 
GG-EXP1 15 SUBJECT-REL 1 "the" 579 
GG-EXP1 15 SUBJECT-REL 2 "reporter" 183 
GG-EXP1 15 SUBJECT-REL 3 "who" 454 
GG-EXP1 15 SUBJECT-REL 6 "photographer" 148 
GG-EXP1 15 SUBJECT-REL 7 "to" 335 
GG-EXP1 15 OBJECT-REL 1 "the" 516 
GG-EXP1 15 OBJECT-REL 2 "reporter" 175 
GG-EXP1 15 OBJECT-REL 3 "who" 297 
GG-EXP1 15 OBJECT-REL 3 "who" 247 
GG-EXP1 15 OBJECT-REL 4 "the" 199 
GG-EXP1 15 OBJECT-REL 5 "photographer" 499 
GG-EXP1 16 SUBJECT-REL 1 "the" 644 
GG-EXP1 16 SUBJECT-REL 3 "who" 180 
GG-EXP1 16 SUBJECT-REL 3 "who" 374 
GG-EXP1 16 SUBJECT-REL 6 "photographer" 216 
GG-EXP1 16 SUBJECT-REL 7 "to" 387 
GG-EXP1 16 SUBJECT-REL 10 "hoped" 181 
GG-EXP1 16 SUBJECT-REL 11 "for" 296 
GG-EXP1 16 SUBJECT-REL 13 "story" 178 
GG-EXP1 16 OBJECT-REL 1 "the" 682 
GG-EXP1 16 OBJECT-REL 3 "who" 371 
GG-EXP1 16 OBJECT-REL 3 "who" 189 
GG-EXP1 16 OBJECT-REL 4 "the" 165 
GG-EXP1 16 OBJECT-REL 5 "photographer" 459 
GG-EXP1 16 OBJECT-REL 8 "the" 187 
GG-EXP1 16 OBJECT-REL 9 "editor" 240 
GG-EXP1 16 OBJECT-REL 11 "for" 329 
GG-EXP1 16 OBJECT-REL 13 "story" 207 
GG-EXP1 17 SUBJECT-REL 1 "the" 500 
GG-EXP1 17 SUBJECT-REL 2 "reporter" 267 
GG-EXP1 17 SUBJECT-REL 4 "sent" 340 
GG-EXP1 17 SUBJECT-REL 6 "photographer" 195 
GG-EXP1 17 SUBJECT-REL 7 "to" 250 
GG-EXP1 17 SUBJECT-REL 9 "editor" 293 
GG-EXP1 17 SUBJECT-REL 11 "for" 424 
GG-EXP1 17 OBJECT-REL 1 "the" 516 
GG-EXP1 17 OBJECT-REL 2 "reporter" 239 
GG-EXP1 18 SUBJECT-REL 1 "the" 695 
GG-EXP1 18 SUBJECT-REL 3 "who" 439 
GG-EXP1 18 SUBJECT-REL 6 "photographer" 451 
GG-EXP1 18 SUBJECT-REL 9 "editor" 280 
GG-EXP1 18 SUBJECT-REL 10 "hoped" 244 
GG-EXP1 18 SUBJECT-REL 12 "the" 284 
GG-EXP1 18 OBJECT-REL 1 "the" 570 
GG-EXP1 18 OBJECT-REL 2 "reporter" 514 
GG-EXP1 18 OBJECT-REL 2 "reporter" 237 
GG-EXP1 18 OBJECT-REL 3 "who" 172 
GG-EXP1 18 OBJECT-REL 4 "the" 178 
GG-EXP1 18 OBJECT-REL 5 "photographer" 181 
GG-EXP1 18 OBJECT-REL 6 "sent" 151 
GG-EXP1 18 OBJECT-REL 7 "to" 301 
GG-EXP1 18 OBJECT-REL 9 "editor" 485 
GG-EXP1 18 OBJECT-REL 12 "the" 377 
GG-EXP1 19 SUBJECT-REL 1 "the" 539 
GG-EXP1 19 SUBJECT-REL 2 "reporter" 451 
GG-EXP1 19 SUBJECT-REL 4 "sent" 319 
GG-EXP1 19 SUBJECT-REL 6 "photographer" 423 
GG-EXP1 19 SUBJECT-REL 9 "editor" 231 
GG-EXP1 19 SUBJECT-REL 10 "hoped" 402 
GG-EXP1 19 SUBJECT-REL 13 "story" 234 
GG-EXP1 19 OBJECT-REL 1 "the" 507 
GG-EXP1 19 OBJECT-REL 2 "reporter" 194 
GG-EXP1 19 OBJECT-REL 3 "who" 181 
GG-EXP1 19 OBJECT-REL 4 "the" 192 
GG-EXP1 19 OBJECT-REL 2 "reporter" 209 
GG-EXP1 19 OBJECT-REL 4 "the" 268 
GG-EXP1 19 OBJECT-REL 6 "sent" 531 
GG-EXP1 19 OBJECT-REL 9 "editor" 419 
GG-EXP1 19 OBJECT-REL 11 "for" 401 
GG-EXP1 20 SUBJECT-REL 1 "the" 670 
GG-EXP1 20 SUBJECT-REL 3 "who" 246 
GG-EXP1 20 SUBJECT-REL 4 "sent" 392 
GG-EXP1 20 SUBJECT-REL 7 "to" 319 
GG-EXP1 20 SUBJECT-REL 9 "editor" 257 
GG-EXP1 20 SUBJECT-REL 11 "for" 351 
GG-EXP1 20 OBJECT-REL 1 "the" 619 
GG-EXP1 20 OBJECT-REL 3 "who" 428 
GG-EXP1 20 OBJECT-REL 3 "who" 220 
GG-EXP1 20 OBJECT-REL 4 "the" 139 
GG-EXP1 20 OBJECT-REL 5 "photographer" 452 
GG-EXP1 20 OBJECT-REL 7 "to" 149 
GG-EXP1 20 OBJECT-REL 8 "the" 304 
GG-EXP1 20 OBJECT-REL 10 "hoped" 437 
GG-EXP1 20 OBJECT-REL 13 "story" 160 
GG-EXP1 21 SUBJECT-REL 1 "the" 529 
GG-EXP1 21 SUBJECT-REL 2 "reporter" 346 
GG-EXP1 21 SUBJECT-REL 4 "sent" 228 
GG-EXP1 21 SUBJECT-REL 6 "photographer" 178 
GG-EXP1 21 SUBJECT-REL 7 "to" 380 
GG-EXP1 21 SUBJECT-REL 10 "hoped" 230 
GG-EXP1 21 SUBJECT-REL 11 "for" 403 
GG-EXP1 21 OBJECT-REL 1 "the" 394 
GG-EXP1 21 OBJECT-REL 1 "the" 171 
GG-EXP1 21 OBJECT-REL 2 "reporter" 170 
GG-EXP1 21 OBJECT-REL 3 "who" 230 
GG-EXP1 21 OBJECT-REL 4 "the" 167 
GG-EXP1 21 OBJECT-REL 3 "who" 140 
GG-EXP1 21 OBJECT-REL 4 "the" 177 
GG-EXP1 21 OBJECT-REL 5 "photographer" 172 
GG-EXP1 21 OBJECT-REL 6 "sent" 264 
GG-EXP1 21 OBJECT-REL 8 "the" 188 
GG-EXP1 21 OBJECT-REL 9 "editor" 319 
GG-EXP1 21 OBJECT-REL 11 "for" 302 
GG-EXP1 21 OBJECT-REL 13 "story" 210 
GG-EXP1 22 SUBJECT-REL 1 "the" 419 
GG-EXP1 22 SUBJECT-REL 1 "the" 187 
GG-EXP1 22 SUBJECT-REL 2 "reporter" 138 
GG-EXP1 22 SUBJECT-REL 3 "who" 208 
GG-EXP1 22 SUBJECT-REL 4 "sent" 249 
GG-EXP1 22 SUBJECT-REL 6 "photographer" 294 
GG-EXP1 22 SUBJECT-REL 8 "the" 360 
GG-EXP1 22 SUBJECT-REL 10 "hoped" 384 
GG-EXP1 22 SUBJECT-REL 13 "story" 199 
GG-EXP1 22 OBJECT-REL 1 "the" 693 
GG-EXP1 22 OBJECT-REL 3 "who" 364 
GG-EXP1 22 OBJECT-REL 2 "reporter" 243 
GG-EXP1 22 OBJECT-REL 3 "who" 184 
GG-EXP1 22 OBJECT-REL 4 "the" 186 
GG-EXP1 22 OBJECT-REL 5 "photographer" 305 
GG-EXP1 22 OBJECT-REL 6 "sent" 140 
GG-EXP1 22 OBJECT-REL 8 "the" 285 
GG-EXP1 22 OBJECT-REL 10 "hoped" 430 
GG-EXP1 22 OBJECT-REL 13 "story" 214 
GG-EXP1 23 SUBJECT-REL 1 "the" 534 
GG-EXP1 23 SUBJECT-REL 2 "reporter" 173 
GG-EXP1 23 SUBJECT-REL 3 "who" 322 
GG-EXP1 23 SUBJECT-REL 5 "the" 153 
GG-EXP1 23 SUBJECT-REL 6 "photographer" 151 
GG-EXP1 23 SUBJECT-REL 7 "to" 252 
GG-EXP1 23 SUBJECT-REL 9 "editor" 171 
GG-EXP1 23 SUBJECT-REL 10 "hoped" 298 
GG-EXP1 23 SUBJECT-REL 12 "the" 346 
GG-EXP1 23 OBJECT-REL 1 "the" 540 
GG-EXP1 23 OBJECT-REL 2 "reporter" 187 
GG-EXP1 23 OBJECT-REL 3 "who" 184 
GG-EXP1 23 OBJECT-REL 4 "the" 262 
GG-EXP1 23 OBJECT-REL 4 "the" 295 
GG-EXP1 23 OBJECT-REL 6 "sent" 589 
GG-EXP1 23 OBJECT-REL 10 "hoped" 282 
GG-EXP1 23 OBJECT-REL 12 "the" 290 
GG-EXP1 24 SUBJECT-REL 1 "the" 524 
GG-EXP1 24 SUBJECT-REL 2 "reporter" 143 
GG-EXP1 24 SUBJECT-REL 3 "who" 306 
GG-EXP1 24 SUBJECT-REL 5 "the" 139 
GG-EXP1 24 SUBJECT-REL 6 "photographer" 147 
GG-EXP1 24 SUBJECT-REL 6 "photographer" 286 
GG-EXP1 24 SUBJECT-REL 9 "editor" 168 
GG-EXP1 24 SUBJECT-REL 10 "hoped" 167 
GG-EXP1 24 SUBJECT-REL 11 "for" 131 
GG-EXP1 24 SUBJECT-REL 12 "the" 244 
GG-EXP1 24 OBJECT-REL 1 "the" 526 
GG-EXP1 24 OBJECT-REL 2 "reporter" 167 
GG-EXP1 24 OBJECT-REL 3 "who" 385 
GG-EXP1 24 OBJECT-REL 2 "reporter" 334 
GG-EXP1 24 OBJECT-REL 4 "the" 154 
GG-EXP1 24 OBJECT-REL 5 "photographer" 263 
GG-EXP1 24 OBJECT-REL 7 "to" 300 
GG-EXP1 24 OBJECT-REL 9 "editor" 370 
GG-EXP1 24 OBJECT-REL 12 "the" 340 
GG-EXP1 25 SUBJECT-REL 1 "the" 477 
GG-EXP1 25 SUBJECT-REL 2 "reporter" 247 
GG-EXP1 25 SUBJECT-REL 3 "who" 407 
GG-EXP1 25 SUBJECT-REL 6 "photographer" 377 
GG-EXP1 25 SUBJECT-REL 8 "the" 438 
GG-EXP1 25 SUBJECT-REL 13 "story" 238 
GG-EXP1 25 SUBJECT-REL 12 "the" 292 
GG-EXP1 25 OBJECT-REL 1 "the" 525 
GG-EXP1 25 OBJECT-REL 2 "reporter" 218 
GG-EXP1 25 OBJECT-REL 3 "who" 277 
GG-EXP1 25 OBJECT-REL 3 "who" 223 
GG-EXP1 25 OBJECT-REL 4 "the" 153 
GG-EXP1 25 OBJECT-REL 5 "photographer" 287 
GG-EXP1 25 OBJECT-REL 7 "to" 295 
GG-EXP1 25 OBJECT-REL 9 "editor" 458 
GG-EXP1 25 OBJECT-REL 12 "the" 160 
GG-EXP1 25 OBJECT-REL 13 "story" 231 
GG-EXP1 26 SUBJECT-REL 1 "the" 672 
GG-EXP1 26 SUBJECT-REL 3 "who" 224 
GG-EXP1 26 SUBJECT-REL 4 "sent" 184 
GG-EXP1 26 SUBJECT-REL 5 "the" 148 
GG-EXP1 26 SUBJECT-REL 6 "photographer" 191 
GG-EXP1 26 SUBJECT-REL 7 "to" 264 
GG-EXP1 26 SUBJECT-REL 9 "editor" 458 
GG-EXP1 26 SUBJECT-REL 12 "the" 187 
GG-EXP1 26 SUBJECT-REL 13 "story" 193 
GG-EXP1 26 OBJECT-REL 1 "the" 482 
GG-EXP1 26 OBJECT-REL 2 "reporter" 241 
GG-EXP1 26 OBJECT-REL 4 "the" 227 
GG-EXP1 26 OBJECT-REL 3 "who" 253 
GG-EXP1 26 OBJECT-REL 5 "photographer" 466 
GG-EXP1 26 OBJECT-REL 7 "to" 388 
GG-EXP1 26 OBJECT-REL 10 "hoped" 217 
GG-EXP1 26 OBJECT-REL 11 "for" 243 
GG-EXP1 26 OBJECT-REL 13 "story" 195 
GG-EXP1 27 SUBJECT-REL 1 "the" 503 
GG-EXP1 27 SUBJECT-REL 2 "reporter" 129 
GG-EXP1 27 SUBJECT-REL 3 "who" 304 
GG-EXP1 27 SUBJECT-REL 5 "the" 170 
GG-EXP1 27 SUBJECT-REL 6 "photographer" 312 
GG-EXP1 27 SUBJECT-REL 8 "the" 355 
GG-EXP1 27 SUBJECT-REL 11 "for" 207 
GG-EXP1 27 SUBJECT-REL 12 "the" 135 
GG-EXP1 27 SUBJECT-REL 13 "story" 157 
GG-EXP1 27 OBJECT-REL 1 "the" 639 
GG-EXP1 27 OBJECT-REL 3 "who" 418 
GG-EXP1 27 OBJECT-REL 2 "reporter" 204 
GG-EXP1 27 OBJECT-REL 3 "who" 229 
GG-EXP1 27 OBJECT-REL 4 "the" 182 
GG-EXP1 27 OBJECT-REL 5 "photographer" 527 
GG-EXP1 27 OBJECT-REL 8 "the" 309 
GG-EXP1 27 OBJECT-REL 10 "hoped" 393 
GG-EXP1 27 OBJECT-REL 13 "story" 203 
GG-EXP1 28 SUBJECT-REL 1 "the" 516 
GG-EXP1 28 SUBJECT-REL 2 "reporter" 153 
GG-EXP1 28 SUBJECT-REL 3 "who" 437 
GG-EXP1 28 SUBJECT-REL 6 "photographer" 224 
GG-EXP1 28 SUBJECT-REL 7 "to" 404 
GG-EXP1 28 SUBJECT-REL 10 "hoped" 240 
GG-EXP1 28 SUBJECT-REL 12 "the" 285 
GG-EXP1 28 OBJECT-REL 1 "the" 547 
GG-EXP1 28 OBJECT-REL 2 "reporter" 172 
GG-EXP1 28 OBJECT-REL 3 "who" 304 
GG-EXP1 28 OBJECT-REL 2 "reporter" 210 
GG-EXP1 28 OBJECT-REL 3 "who" 300 
GG-EXP1 28 OBJECT-REL 5 "photographer" 283 
GG-EXP1 28 OBJECT-REL 7 "to" 406 
GG-EXP1 28 OBJECT-REL 10 "hoped" 319 
GG-EXP1 28 OBJECT-REL 12 "the" 138 
GG-EXP1 28 OBJECT-REL 13 "story" 159 
GG-EXP1 29 SUBJECT-REL 1 "the" 397 
GG-EXP1 29 SUBJECT-REL 1 "the" 282 
GG-EXP1 29 SUBJECT-REL 3 "who" 325 
GG-EXP1 29 SUBJECT-REL 5 "the" 325 
GG-EXP1 29 SUBJECT-REL 7 "to" 419 
GG-EXP1 29 SUBJECT-REL 10 "hoped" 461 
GG-EXP1 29 SUBJECT-REL 13 "story" 174 
GG-EXP1 29 OBJECT-REL 1 "the" 688 
GG-EXP1 29 OBJECT-REL 3 "who" 277 
GG-EXP1 29 OBJECT-REL 4 "the" 254 
