experiment simulation item wn word enctime ecc freq1
GG-EXP1 3 OBJECT-REL 11 "for" 82 4.395948992317492D0 0.0037 
GG-EXP1 3 OBJECT-REL 12 "the" 19 1.3564717438141318D0 0.0037 
GG-EXP1 3 OBJECT-REL 13 "story" 31 2.9428722429285847D0 0.0037 
GG-EXP1 3 OBJECT-REL 14 "*" 128 5.473154517787883D0 0.0037 
GG-EXP1 4 SUBJECT-REL 1 "the" 18 1.5493412716991979D0 0.0037 
GG-EXP1 4 SUBJECT-REL 2 "reporter" 52 3.8625618818379337D0 0.0037 
GG-EXP1 4 SUBJECT-REL 3 "who" 33 2.4895129172869033D0 0.0037 
GG-EXP1 4 SUBJECT-REL 4 "sent" 60 4.137222412774932D0 0.0037 
GG-EXP1 4 SUBJECT-REL 2 "reporter" 15 0.07672336643513278D0 0.0037 
GG-EXP1 4 SUBJECT-REL 4 "sent" 59 4.208459207872098D0 0.0037 
GG-EXP1 4 SUBJECT-REL 5 "the" 31 1.9181154129104776D0 0.0037 
GG-EXP1 4 SUBJECT-REL 6 "photographer" 34 2.897069164596651D0 0.0037 
GG-EXP1 4 SUBJECT-REL 7 "to" 216 6.842100601763619D0 0.0037 
GG-EXP1 4 SUBJECT-REL 7 "to" 16 1.1561095473370409D0 0.0037 
GG-EXP1 4 SUBJECT-REL 8 "the" 25 1.3204252359634725D0 0.0037 
GG-EXP1 4 SUBJECT-REL 9 "editor" 29 1.7668828182083063D0 0.0037 
GG-EXP1 4 SUBJECT-REL 10 "hoped" 36 2.678350146943317D0 0.0037 
GG-EXP1 4 SUBJECT-REL 11 "for" 30 1.7926952486542165D0 0.0037 
GG-EXP1 4 SUBJECT-REL 12 "the" 52 3.323893012414879D0 0.0037 
GG-EXP1 4 SUBJECT-REL 13 "story" 26 1.8969082117823475D0 0.0037 
GG-EXP1 4 SUBJECT-REL 12 "the" 10 0.3042568996922141D0 0.0037 
GG-EXP1 4 OBJECT-REL 1 "the" 20 1.498942730683879D0 0.0037 
GG-EXP1 4 OBJECT-REL 2 "reporter" 45 3.721721489707808D0 0.0037 
GG-EXP1 4 OBJECT-REL 3 "who" 139 6.109233479869026D0 0.0037 
GG-EXP1 4 OBJECT-REL 4 "the" 18 1.817475760466667D0 0.0037 
GG-EXP1 4 OBJECT-REL 5 "photographer" 73 5.1836046192747895D0 0.0037 
GG-EXP1 4 OBJECT-REL 2 "reporter" 25 2.3584549034038877D0 0.0037 
GG-EXP1 4 OBJECT-REL 3 "who" 22 2.0047699402514194D0 0.0037 
GG-EXP1 4 OBJECT-REL 4 "the" 19 1.5784691057064806D0 0.0037 
GG-EXP1 4 OBJECT-REL 5 "photographer" 110 5.226707507265243D0 0.0037 
GG-EXP1 4 OBJECT-REL 6 "sent" 40 3.340860112464683D0 0.0037 
GG-EXP1 4 OBJECT-REL 7 "to" 24 1.2399513149821064D0 0.0037 
GG-EXP1 4 OBJECT-REL 8 "the" 31 2.172234569460612D0 0.0037 
GG-EXP1 4 OBJECT-REL 6 "sent" 15 0.3206554456454753D0 0.0037 
GG-EXP1 4 OBJECT-REL 8 "the" 24 2.194378263238134D0 0.0037 
GG-EXP1 4 OBJECT-REL 9 "editor" 73 4.598004992927775D0 0.0037 
GG-EXP1 4 OBJECT-REL 10 "hoped" 39 2.6204733559766593D0 0.0037 
GG-EXP1 4 OBJECT-REL 11 "for" 16 1.5867245290526788D0 0.0037 
GG-EXP1 4 OBJECT-REL 12 "the" 38 2.914210030802507D0 0.0037 
GG-EXP1 4 OBJECT-REL 13 "story" 111 5.2319268505362215D0 0.0037 
GG-EXP1 4 OBJECT-REL 14 "*" 19 1.514253367860538D0 0.0037 
GG-EXP1 5 SUBJECT-REL 1 "the" 14 1.3045792700709322D0 0.0037 
GG-EXP1 5 SUBJECT-REL 2 "reporter" 42 3.752441666561322D0 0.0037 
GG-EXP1 5 SUBJECT-REL 3 "who" 30 2.4511999764189345D0 0.0037 
GG-EXP1 5 SUBJECT-REL 4 "sent" 25 1.9601978185808149D0 0.0037 
GG-EXP1 5 SUBJECT-REL 5 "the" 56 3.3783507226777134D0 0.0037 
GG-EXP1 5 SUBJECT-REL 6 "photographer" 37 2.7639376905851787D0 0.0037 
GG-EXP1 5 SUBJECT-REL 7 "to" 46 4.0066045481362185D0 0.0037 
GG-EXP1 5 SUBJECT-REL 8 "the" 53 4.654435106655055D0 0.0037 
GG-EXP1 5 SUBJECT-REL 9 "editor" 31 1.9596908601001144D0 0.0037 
GG-EXP1 5 SUBJECT-REL 10 "hoped" 72 4.575126057838583D0 0.0037 
GG-EXP1 5 SUBJECT-REL 11 "for" 26 1.751077534229838D0 0.0037 
GG-EXP1 5 SUBJECT-REL 12 "the" 16 1.447484769017843D0 0.0037 
GG-EXP1 5 SUBJECT-REL 13 "story" 51 3.165137894225111D0 0.0037 
GG-EXP1 5 SUBJECT-REL 14 "*" 17 1.618690930780093D0 0.0037 
GG-EXP1 5 OBJECT-REL 1 "the" 21 1.2955446526071333D0 0.0037 
GG-EXP1 5 OBJECT-REL 2 "reporter" 46 3.708677447654306D0 0.0037 
GG-EXP1 5 OBJECT-REL 3 "who" 115 6.476665337842171D0 0.0037 
GG-EXP1 5 OBJECT-REL 4 "the" 19 1.4225248078900412D0 0.0037 
GG-EXP1 5 OBJECT-REL 5 "photographer" 43 4.356336203519695D0 0.0037 
GG-EXP1 5 OBJECT-REL 3 "who" 9 0.37509085913107726D0 0.0037 
GG-EXP1 5 OBJECT-REL 4 "the" 23 1.464661016955938D0 0.0037 
GG-EXP1 5 OBJECT-REL 5 "photographer" 57 3.682947758319401D0 0.0037 
GG-EXP1 5 OBJECT-REL 6 "sent" 51 3.201307155225162D0 0.0037 
GG-EXP1 5 OBJECT-REL 7 "to" 92 4.827325649859741D0 0.0037 
GG-EXP1 5 OBJECT-REL 8 "the" 21 0.8955560926505397D0 0.0037 
GG-EXP1 5 OBJECT-REL 9 "editor" 42 2.933738152081651D0 0.0037 
GG-EXP1 5 OBJECT-REL 10 "hoped" 24 2.220812563367456D0 0.0037 
GG-EXP1 5 OBJECT-REL 11 "for" 20 1.9394219366627445D0 0.0037 
GG-EXP1 5 OBJECT-REL 12 "the" 54 4.186686823548652D0 0.0037 
GG-EXP1 5 OBJECT-REL 13 "story" 85 5.851831484702911D0 0.0037 
GG-EXP1 5 OBJECT-REL 14 "*" 15 1.175925581502766D0 0.0037 
GG-EXP1 6 SUBJECT-REL 1 "the" 26 1.5553063254836548D0 0.0037 
GG-EXP1 6 SUBJECT-REL 2 "reporter" 80 4.269704183519932D0 0.0037 
GG-EXP1 6 SUBJECT-REL 3 "who" 20 2.149316027858628D0 0.0037 
GG-EXP1 6 SUBJECT-REL 4 "sent" 39 3.785183773317294D0 0.0037 
GG-EXP1 6 SUBJECT-REL 2 "reporter" 11 0.4687237856714344D0 0.0037 
GG-EXP1 6 SUBJECT-REL 4 "sent" 53 3.1970568243648616D0 0.0037 
GG-EXP1 6 SUBJECT-REL 5 "the" 21 2.3085147011387765D0 0.0037 
GG-EXP1 6 SUBJECT-REL 6 "photographer" 76 5.090029786939631D0 0.0037 
GG-EXP1 6 SUBJECT-REL 7 "to" 39 2.8267059808612025D0 0.0037 
GG-EXP1 6 SUBJECT-REL 8 "the" 44 4.235774412006798D0 0.0037 
GG-EXP1 6 SUBJECT-REL 9 "editor" 190 6.496073557192434D0 0.0037 
GG-EXP1 6 SUBJECT-REL 9 "editor" 16 1.0835365439415638D0 0.0037 
GG-EXP1 6 SUBJECT-REL 8 "the" 33 2.24875880642759D0 0.0037 
GG-EXP1 6 OBJECT-REL 1 "the" 15 1.4054246673990392D0 0.0037 
GG-EXP1 6 OBJECT-REL 2 "reporter" 70 4.041832886144741D0 0.0037 
GG-EXP1 6 OBJECT-REL 3 "who" 18 2.114149470003216D0 0.0037 
GG-EXP1 6 OBJECT-REL 4 "the" 21 1.8315405069770359D0 0.0037 
GG-EXP1 6 OBJECT-REL 2 "reporter" 29 2.594859313464845D0 0.0037 
GG-EXP1 6 OBJECT-REL 3 "who" 34 3.227619974908934D0 0.0037 
GG-EXP1 6 OBJECT-REL 4 "the" 11 0.9634188071421081D0 0.0037 
GG-EXP1 6 OBJECT-REL 5 "photographer" 65 4.307886635517476D0 0.0037 
GG-EXP1 6 OBJECT-REL 6 "sent" 39 3.1077182272430446D0 0.0037 
GG-EXP1 6 OBJECT-REL 7 "to" 72 4.156816195444655D0 0.0037 
GG-EXP1 6 OBJECT-REL 5 "photographer" 14 0.22807469911710865D0 0.0037 
GG-EXP1 6 OBJECT-REL 7 "to" 40 4.1213404317496565D0 0.0037 
GG-EXP1 6 OBJECT-REL 8 "the" 55 4.647812888746916D0 0.0037 
GG-EXP1 6 OBJECT-REL 9 "editor" 51 3.3569439023393093D0 0.0037 
GG-EXP1 6 OBJECT-REL 10 "hoped" 33 2.7658605521446673D0 0.0037 
GG-EXP1 6 OBJECT-REL 11 "for" 24 1.4302600545963844D0 0.0037 
GG-EXP1 6 OBJECT-REL 12 "the" 40 3.023332125464754D0 0.0037 
GG-EXP1 6 OBJECT-REL 13 "story" 78 5.1666571050989D0 0.0037 
GG-EXP1 6 OBJECT-REL 14 "*" 12 1.1910385500354936D0 0.0037 
GG-EXP1 7 SUBJECT-REL 1 "the" 23 1.622852378049319D0 0.0037 
GG-EXP1 7 SUBJECT-REL 2 "reporter" 66 3.858598133804053D0 0.0037 
GG-EXP1 7 SUBJECT-REL 3 "who" 32 2.3286262440800347D0 0.0037 
GG-EXP1 7 SUBJECT-REL 4 "sent" 41 3.9823139277687902D0 0.0037 
GG-EXP1 7 SUBJECT-REL 2 "reporter" 15 0.5447047990824146D0 0.0037 
GG-EXP1 7 SUBJECT-REL 4 "sent" 100 5.149112607441128D0 0.0037 
GG-EXP1 7 SUBJECT-REL 5 "the" 14 0.8565317163586191D0 0.0037 
GG-EXP1 7 SUBJECT-REL 6 "photographer" 53 3.725923531024238D0 0.0037 
GG-EXP1 7 SUBJECT-REL 7 "to" 47 3.07895491960772D0 0.0037 
GG-EXP1 7 SUBJECT-REL 8 "the" 18 1.4694840781376484D0 0.0037 
GG-EXP1 7 SUBJECT-REL 9 "editor" 50 3.796098001427115D0 0.0037 
GG-EXP1 7 SUBJECT-REL 10 "hoped" 70 5.574066270486186D0 0.0037 
GG-EXP1 7 SUBJECT-REL 11 "for" 27 1.8574614644388718D0 0.0037 
GG-EXP1 7 SUBJECT-REL 12 "the" 42 3.558771658610294D0 0.0037 
GG-EXP1 7 SUBJECT-REL 13 "story" 123 5.3170989502363994D0 0.0037 
GG-EXP1 7 SUBJECT-REL 14 "*" 17 1.7540212783094904D0 0.0037 
GG-EXP1 7 OBJECT-REL 1 "the" 15 1.438963115852147D0 0.0037 
GG-EXP1 7 OBJECT-REL 2 "reporter" 59 3.622179389434063D0 0.0037 
GG-EXP1 7 OBJECT-REL 3 "who" 35 2.630081769021088D0 0.0037 
GG-EXP1 7 OBJECT-REL 4 "the" 26 1.4201828634657614D0 0.0037 
GG-EXP1 7 OBJECT-REL 3 "who" 10 0.20535524842017017D0 0.0037 
GG-EXP1 7 OBJECT-REL 4 "the" 13 1.4054764076684454D0 0.0037 
GG-EXP1 7 OBJECT-REL 5 "photographer" 61 4.570492633528051D0 0.0037 
GG-EXP1 7 OBJECT-REL 3 "who" 12 0.19476310727139673D0 0.0037 
GG-EXP1 7 OBJECT-REL 4 "the" 17 1.2942657155821542D0 0.0037 
GG-EXP1 7 OBJECT-REL 5 "photographer" 39 3.837318197149212D0 0.0037 
GG-EXP1 7 OBJECT-REL 6 "sent" 158 6.918216164891682D0 0.0037 
GG-EXP1 7 OBJECT-REL 7 "to" 21 1.1493829597480032D0 0.0037 
GG-EXP1 7 OBJECT-REL 8 "the" 32 2.261024231336478D0 0.0037 
GG-EXP1 7 OBJECT-REL 9 "editor" 23 2.400568597580354D0 0.0037 
GG-EXP1 7 OBJECT-REL 10 "hoped" 116 5.527296258897173D0 0.0037 
GG-EXP1 7 OBJECT-REL 11 "for" 15 1.0627776766645534D0 0.0037 
GG-EXP1 7 OBJECT-REL 10 "hoped" 14 0.8365435631092639D0 0.0037 
GG-EXP1 7 OBJECT-REL 11 "for" 22 1.0428026236535723D0 0.0037 
GG-EXP1 7 OBJECT-REL 12 "the" 38 2.5361893306998247D0 0.0037 
GG-EXP1 7 OBJECT-REL 13 "story" 59 4.814748646050891D0 0.0037 
GG-EXP1 7 OBJECT-REL 10 "hoped" 16 0.7130799191528717D0 0.0037 
GG-EXP1 8 SUBJECT-REL 1 "the" 20 1.3167490715063086D0 0.0037 
GG-EXP1 8 SUBJECT-REL 2 "reporter" 33 2.0848156856320283D0 0.0037 
GG-EXP1 8 SUBJECT-REL 3 "who" 61 5.129336087987631D0 0.0037 
GG-EXP1 8 SUBJECT-REL 4 "sent" 25 1.5042691858301398D0 0.0037 
GG-EXP1 8 SUBJECT-REL 5 "the" 33 3.198443621517154D0 0.0037 
GG-EXP1 8 SUBJECT-REL 6 "photographer" 41 3.037603204632069D0 0.0037 
GG-EXP1 8 SUBJECT-REL 7 "to" 38 3.0239211840146702D0 0.0037 
GG-EXP1 8 SUBJECT-REL 8 "the" 56 4.184966341099743D0 0.0037 
GG-EXP1 8 SUBJECT-REL 9 "editor" 133 6.848133005436064D0 0.0037 
GG-EXP1 8 SUBJECT-REL 10 "hoped" 31 2.2403755055511163D0 0.0037 
GG-EXP1 8 SUBJECT-REL 11 "for" 47 4.0371728321221445D0 0.0037 
GG-EXP1 8 SUBJECT-REL 9 "editor" 14 0.2584078761920203D0 0.0037 
GG-EXP1 8 SUBJECT-REL 11 "for" 34 3.4744712552132944D0 0.0037 
GG-EXP1 8 SUBJECT-REL 12 "the" 125 5.86237735892688D0 0.0037 
GG-EXP1 8 SUBJECT-REL 13 "story" 23 1.530754511204061D0 0.0037 
GG-EXP1 8 SUBJECT-REL 14 "*" 26 1.4271954249079504D0 0.0037 
GG-EXP1 8 OBJECT-REL 1 "the" 15 1.4434509084426215D0 0.0037 
GG-EXP1 8 OBJECT-REL 2 "reporter" 52 3.23404040421943D0 0.0037 
GG-EXP1 8 OBJECT-REL 3 "who" 47 3.1862247639192605D0 0.0037 
GG-EXP1 8 OBJECT-REL 4 "the" 24 1.5388550532069831D0 0.0037 
GG-EXP1 8 OBJECT-REL 3 "who" 16 0.2531555319680999D0 0.0037 
GG-EXP1 8 OBJECT-REL 4 "the" 13 1.14522719011104D0 0.0037 
GG-EXP1 8 OBJECT-REL 5 "photographer" 79 4.26635472438013D0 0.0037 
GG-EXP1 8 OBJECT-REL 3 "who" 16 0.27389969446189755D0 0.0037 
GG-EXP1 8 OBJECT-REL 4 "the" 28 1.7447067527596514D0 0.0037 
GG-EXP1 8 OBJECT-REL 5 "photographer" 49 3.193302585039925D0 0.0037 
GG-EXP1 8 OBJECT-REL 6 "sent" 46 3.2486423031252376D0 0.0037 
GG-EXP1 8 OBJECT-REL 7 "to" 51 4.28993024858973D0 0.0037 
GG-EXP1 8 OBJECT-REL 5 "photographer" 15 0.28353946072608466D0 0.0037 
GG-EXP1 8 OBJECT-REL 7 "to" 63 4.74081822299413D0 0.0037 
GG-EXP1 8 OBJECT-REL 8 "the" 121 6.10662998499398D0 0.0037 
GG-EXP1 8 OBJECT-REL 9 "editor" 18 1.6424993501182041D0 0.0037 
GG-EXP1 8 OBJECT-REL 10 "hoped" 54 4.205570225575229D0 0.0037 
GG-EXP1 8 OBJECT-REL 11 "for" 20 2.049272678711865D0 0.0037 
GG-EXP1 8 OBJECT-REL 12 "the" 19 1.3879725360026656D0 0.0037 
GG-EXP1 8 OBJECT-REL 13 "story" 35 3.41887326834395D0 0.0037 
GG-EXP1 8 OBJECT-REL 14 "*" 83 5.179301968638621D0 0.0037 
GG-EXP1 9 SUBJECT-REL 1 "the" 26 1.492574920430565D0 0.0037 
GG-EXP1 9 SUBJECT-REL 2 "reporter" 53 3.1620304500093823D0 0.0037 
GG-EXP1 9 SUBJECT-REL 3 "who" 40 3.1457003784807154D0 0.0037 
GG-EXP1 9 SUBJECT-REL 4 "sent" 18 1.782414043602193D0 0.0037 
GG-EXP1 9 SUBJECT-REL 5 "the" 68 3.8585742422181846D0 0.0037 
GG-EXP1 9 SUBJECT-REL 6 "photographer" 116 5.816624852224281D0 0.0037 
GG-EXP1 9 SUBJECT-REL 7 "to" 45 4.1891963553844365D0 0.0037 
GG-EXP1 9 SUBJECT-REL 8 "the" 14 0.7528246749984432D0 0.0037 
GG-EXP1 9 SUBJECT-REL 9 "editor" 23 2.1400201462631268D0 0.0037 
GG-EXP1 9 SUBJECT-REL 10 "hoped" 80 5.101257982767066D0 0.0037 
GG-EXP1 9 SUBJECT-REL 11 "for" 23 2.2471095139855777D0 0.0037 
GG-EXP1 9 SUBJECT-REL 12 "the" 42 4.008949240441029D0 0.0037 
GG-EXP1 9 SUBJECT-REL 13 "story" 25 1.6913101700015738D0 0.0037 
GG-EXP1 9 SUBJECT-REL 14 "*" 19 1.3316457907692514D0 0.0037 
GG-EXP1 9 OBJECT-REL 1 "the" 25 1.32195848408125D0 0.0037 
GG-EXP1 9 OBJECT-REL 2 "reporter" 22 2.3369500157475223D0 0.0037 
GG-EXP1 9 OBJECT-REL 3 "who" 100 4.965702899747102D0 0.0037 
GG-EXP1 9 OBJECT-REL 4 "the" 18 1.3762444139859917D0 0.0037 
GG-EXP1 9 OBJECT-REL 3 "who" 12 0.1515881790633435D0 0.0037 
GG-EXP1 9 OBJECT-REL 4 "the" 17 1.2717399975245598D0 0.0037 
GG-EXP1 9 OBJECT-REL 3 "who" 14 0.12827885337603112D0 0.0037 
GG-EXP1 9 OBJECT-REL 4 "the" 15 1.158492176397855D0 0.0037 
GG-EXP1 9 OBJECT-REL 5 "photographer" 81 4.5239350063522D0 0.0037 
GG-EXP1 9 OBJECT-REL 6 "sent" 43 2.889755420688585D0 0.0037 
GG-EXP1 9 OBJECT-REL 7 "to" 27 1.963703625693608D0 0.0037 
GG-EXP1 9 OBJECT-REL 5 "photographer" 29 2.874028613075282D0 0.0037 
GG-EXP1 9 OBJECT-REL 7 "to" 28 2.4793877384383527D0 0.0037 
GG-EXP1 9 OBJECT-REL 8 "the" 27 2.8354939828990937D0 0.0037 
GG-EXP1 9 OBJECT-REL 5 "photographer" 23 2.6509762841082725D0 0.0037 
GG-EXP1 9 OBJECT-REL 8 "the" 45 3.516427009103275D0 0.0037 
GG-EXP1 9 OBJECT-REL 9 "editor" 67 4.899053115333224D0 0.0037 
GG-EXP1 9 OBJECT-REL 10 "hoped" 41 2.5510782478233534D0 0.0037 
